Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
1,-62.5986,-11.9466,0.0037,0.7,0.0,4.0009,0.0,0.0,0.0,0.0
2,-61.9666,-11.8601,0.0088,0.7,0.0,3.9954,0.0,0.0,0.0,0.0
3,-62.3207,-11.8303,0.0138,0.7,0.0,4.0019,0.0,0.0,0.0,0.0
4,-62.4957,-11.8519,0.0188,0.7,0.0,3.9954,0.0,0.0,0.0,0.0
5,-61.8646,-11.8771,0.0236,0.7,0.0,4.0241,0.0,0.0,0.0,0.0
6,-62.1334,-11.8701,0.0284,0.7,0.0,3.9806,0.0,0.0,0.0,0.0
7,-61.9105,-11.8601,0.0332,0.7,0.0,3.9926,0.0,0.0,0.0,0.0
8,-61.9653,-11.8107,0.038,0.7,0.0,3.9685,0.0,0.0,0.0,0.0
9,-62.0869,-11.8146,0.0427,0.7,0.0,3.9389,0.0,0.0,0.0,0.0
10,-62.2014,-11.8583,0.0474,0.7,0.0,3.9889,0.0,0.0,0.0,0.0
11,-62.1936,-11.8128,0.052,0.7,0.0,4.0222,0.0,0.0,0.0,0.0
12,-62.4541,-11.8228,0.0565,0.7,0.0,3.9593,0.0,0.0,0.0,0.0
13,-62.2285,-11.8795,0.061,0.7,0.0,4.0222,0.0,0.0,0.0,0.0
14,-62.1248,-11.8435,0.0655,0.7,0.0,4.0204,0.0,0.0,0.0,0.0
15,-62.686,-11.8393,0.07,0.7,0.0,3.9676,0.0,0.0,0.0,0.0
16,-62.6186,-11.8549,0.0743,0.7,0.0,3.9769,0.0,0.0,0.0,0.0
17,-62.5156,-11.8852,0.0787,0.7,0.0,4.0667,0.0,0.0,0.0,0.0
18,-62.545,-11.7892,0.0831,0.7,0.0,4.0222,0.0,0.0,0.0,0.0
19,-62.4657,-11.8497,0.0873,0.7,0.0,3.9139,0.0,0.0,0.0,0.0
20,-62.4258,-11.8406,0.0915,0.7,0.0,4.0204,0.0,0.0,0.0,0.0
21,-62.4854,-11.8549,0.0956,0.7,0.0,3.9704,0.0,0.0,0.0,0.0
22,-62.0003,-11.8339,0.0998,0.7,0.0,4.0389,0.0,0.0,0.0,0.0
23,-62.1108,-11.8159,0.1039,0.7,0.0,4.0444,0.0,0.0,0.0,0.0
24,-62.2692,-11.8379,0.108,0.7,0.0,4.0065,0.0,0.0,0.0,0.0
25,-62.1192,-11.838,0.112,0.7,0.0,3.9917,0.0,0.0,0.0,0.0
26,-62.2927,-11.8462,0.116,0.7,0.0,4.0343,0.0,0.0,0.0,0.0
27,-61.5822,-11.8329,0.1199,0.7,0.0,4.0472,0.0,0.0,0.0009,0.0
28,-62.3708,-11.9015,0.1238,0.7,0.0,3.9759,0.0,0.0,0.0019,0.0
29,-62.4871,-11.7948,0.1277,0.7,0.0,3.9926,0.0,0.0,0.0028,0.0
30,-62.4149,-11.8719,0.1315,0.7,0.0,3.9843,0.0,0.0,0.0046,0.0
31,-62.66,-11.8112,0.1353,0.7,0.0,4.0065,0.0,0.0,0.0056,0.0
32,-62.1259,-11.8841,0.139,0.7,0.0,4.0028,0.0,0.0,0.0074,0.0
33,-62.0715,-11.8369,0.1427,0.7,0.0,3.9833,0.0,0.0,0.0093,0.0
34,-62.3164,-11.8529,0.1463,0.7,0.0,4.0426,0.0,0.0,0.0111,0.0
35,-62.6139,-11.8342,0.15,0.7,0.0,4.0463,0.0,0.0,0.013,0.0
36,-61.9648,-11.8588,0.1536,0.7,0.0,3.9694,0.0,0.0,0.0148,0.0
37,-62.3512,-11.8416,0.1572,0.7,0.0,3.9935,0.0,0.0,0.0176,0.0
38,-62.0911,-11.8768,0.1606,0.7,0.0,3.9713,0.0,0.0,0.0204,0.0
39,-62.4211,-11.8314,0.1642,0.7,0.0,3.9935,0.0,0.0,0.0231,0.0
40,-62.3231,-11.8048,0.1677,0.7,0.0,4.0111,0.0,0.0,0.0259,0.0
41,-62.0603,-11.8449,0.171,0.7,0.0,3.9796,0.0,0.0,0.0287,0.0
42,-62.267,-11.8339,0.1745,0.7,0.0,3.9935,0.0,0.0,0.0324,0.0
43,-62.2182,-11.7896,0.1778,0.7,0.0,3.9843,0.0,0.0,0.0361,0.0
44,-62.3143,-11.8515,0.1811,0.7,0.0,3.9954,0.0,0.0,0.0398,0.0
45,-61.6379,-11.8021,0.1843,0.7,0.0,4.0019,0.0,0.0,0.0435,0.0
46,-62.3089,-11.8443,0.1875,0.7,0.0,4.0065,0.0,0.0,0.0472,0.0
47,-62.6978,-11.8406,0.1908,0.7,0.0,3.9861,0.0,0.0,0.0509,0.0
48,-61.9973,-11.8527,0.1938,0.7,0.0,4.0231,0.0,0.0,0.0556,0.0
49,-62.401,-11.8065,0.1971,0.7,0.0,4.0333,0.0,0.0,0.0593,0.0
50,-62.2628,-11.772,0.2002,0.7,0.0,3.9602,0.0,0.0,0.0639,0.0
51,-62.8704,-11.8025,0.2032,0.7,0.0,4.0083,0.0,0.0,0.0685,0.0
52,-62.2962,-11.8355,0.2063,0.7,0.0,4.0102,0.0,0.0,0.0731,0.0
53,-62.2918,-11.8392,0.2093,0.7,0.0,4.0167,0.0,0.0,0.0787,0.0
54,-62.0921,-11.8667,0.2123,0.7,0.0,3.9991,0.0,0.0,0.0833,0.0
55,-62.3253,-11.8267,0.2152,0.7,0.0,4.0296,0.0,0.0,0.0889,0.0
56,-62.1794,-11.8277,0.2182,0.7,0.0,3.9667,0.0,0.0,0.0944,0.0
57,-62.0181,-11.823,0.2211,0.7,0.0,4.0222,0.0,0.0,0.0991,0.0
58,-62.3288,-11.8527,0.224,0.7,0.0,4.0111,0.0,0.0,0.1046,0.0
59,-62.4535,-11.7947,0.2269,0.7,0.0,3.9426,0.0,0.0,0.1111,0.0
60,-62.7718,-11.8376,0.2298,0.7,0.0,3.9972,0.0,0.0,0.1167,0.0
61,-62.2588,-11.8348,0.2326,0.7,0.0,4.0167,0.0,0.0,0.1222,0.0
62,-62.5017,-11.8716,0.2353,0.7,0.0,3.9907,0.0,0.0,0.1287,0.0
63,-62.1963,-11.8428,0.238,0.7,0.0,4.0537,0.0,0.0,0.1352,0.0
64,-61.9701,-11.7952,0.2407,0.7,0.0,4.0324,0.0,0.0,0.1407,0.0
65,-62.5275,-11.8494,0.2435,0.7,0.0,4.025,0.0,0.0,0.1472,0.0
66,-62.1079,-11.8375,0.2461,0.7,0.0,3.9722,0.0,0.0,0.1537,0.0
67,-62.3975,-11.8227,0.2488,0.7,0.0,4.0296,0.0,0.0,0.1602,0.0
68,-62.3496,-11.7947,0.2514,0.7,0.0,3.9861,0.0,0.0,0.1676,0.0
69,-62.598,-11.8636,0.2539,0.7,0.0,4.0065,0.0,0.0,0.1741,0.0
70,-62.1449,-11.8253,0.2564,0.7,0.0,4.0102,0.0,0.0,0.1806,0.0
71,-62.1934,-11.8521,0.259,0.7,0.0,4.0028,0.0,0.0,0.188,0.0
72,-61.9291,-11.8761,0.2615,0.7,0.0,3.9713,0.0,0.0,0.1954,0.0
73,-62.0197,-11.8337,0.2639,0.7,0.0,4.0444,0.0,0.0,0.2019,0.0
74,-62.2641,-11.8395,0.2664,0.7,0.0,4.0241,0.0,0.0,0.2093,0.0
75,-62.2557,-11.8219,0.2688,0.7,0.0,4.0111,0.0,0.0,0.2167,0.0
76,-62.2432,-11.8224,0.2713,0.7,0.0,4.0093,0.0,0.0,0.2241,0.0
77,-61.6999,-11.8584,0.2737,0.7,0.0,3.9741,0.0,0.0,0.2324,0.0
78,-61.6313,-11.8031,0.2761,0.7,0.0,3.975,0.0,0.0,0.2398,0.0
79,-62.2031,-11.8309,0.2784,0.7,0.0,3.9917,0.0,0.0,0.2472,0.0
80,-62.4182,-11.9058,0.2807,0.7,0.0,4.0417,0.0,0.0,0.2556,0.0
81,-61.9119,-11.8637,0.283,0.7,0.0,4.063,0.0,0.0,0.263,0.0
82,-62.4569,-11.7504,0.2853,0.7,0.0,3.9917,0.0,0.0,0.2713,0.0
83,-62.2587,-11.8334,0.2875,0.7,0.0,3.9898,0.0,0.0,0.2787,0.0
84,-62.5976,-11.8599,0.2897,0.7,0.0,3.9759,0.0,0.0,0.287,0.0
85,-62.4314,-11.8133,0.292,0.7,0.0,3.9917,0.0,0.0,0.2954,0.0
86,-62.1857,-11.8391,0.2942,0.7,0.0,3.9657,0.0,0.0,0.3037,0.0
87,-62.1239,-11.8013,0.2964,0.7,0.0,4.0093,0.0,0.0,0.312,0.0
88,-62.194,-11.8522,0.2985,0.7,0.0,4.0019,0.0,0.0,0.3204,0.0
89,-62.1606,-11.828,0.3007,0.7,0.0,4.0093,0.0,0.0,0.3287,0.0
90,-62.364,-11.8903,0.3027,0.7,0.0,4.0185,0.0,0.0,0.337,0.0
91,-62.3471,-11.8227,0.3049,0.7,0.0,4.0204,0.0,0.0,0.3454,0.0
92,-61.7458,-11.8475,0.3069,0.7,0.0,3.9769,0.0,0.0,0.3546,0.0
93,-62.4882,-11.8201,0.309,0.7,0.0,3.9806,0.0,0.0,0.363,0.0
94,-62.1816,-11.8597,0.3111,0.7,0.0,4.0028,0.0,0.0,0.3722,0.0
95,-62.1917,-11.8247,0.313,0.7,0.0,3.9685,0.0,0.0,0.3806,0.0
96,-62.474,-11.7956,0.315,0.7,0.0,3.9676,0.0,0.0,0.3898,0.0
97,-62.5521,-11.811,0.317,0.7,0.0,3.9398,0.0,0.0,0.3981,0.0
98,-62.0437,-11.8454,0.3189,0.7,0.0,4.0037,0.0,0.0,0.4074,0.0
99,-62.2953,-11.8727,0.3208,0.7,0.0,4.0556,0.0,0.0,0.4167,0.0
100,-62.1449,-11.851,0.3227,0.7,0.0,4.0194,0.0,0.0,0.425,0.0
101,-62.404,-11.8274,0.3246,0.7,0.0,4.0639,0.0,0.0,0.4343,0.0
102,-62.3023,-11.8188,0.3264,0.7,0.0,3.9843,0.0,0.0,0.4435,0.0
103,-61.6476,-11.8334,0.3282,0.7,0.0,3.9889,0.0,0.0,0.4528,0.0
104,-62.4042,-11.8397,0.3301,0.7,0.0,4.0019,0.0,0.0,0.462,0.0
105,-62.2721,-11.8873,0.3319,0.7,0.0,4.0167,0.0,0.0,0.4713,0.0
106,-62.2652,-11.7787,0.3337,0.7,0.0,4.0139,0.0,0.0,0.4806,0.0
107,-62.3361,-11.7944,0.3355,0.7,0.0,4.0343,0.0,0.0,0.4898,0.0
108,-62.2823,-11.8742,0.3373,0.7,0.0,3.9852,0.0,0.0,0.4991,0.0
109,-62.3801,-11.802,0.339,0.7,0.0,4.05,0.0,0.0,0.5083,0.0
110,-62.5269,-11.8479,0.3407,0.7,0.0,4.0306,0.0,0.0,0.5176,0.0
111,-62.292,-11.8391,0.3424,0.7,0.0,3.9917,0.0,0.0,0.5269,0.0
112,-62.0684,-11.8294,0.3441,0.7,0.0,3.9981,0.0,0.0,0.537,0.0
113,-61.9287,-11.8454,0.3458,0.7,0.0,4.0426,0.0,0.0,0.5463,0.0
114,-61.5975,-11.8613,0.3473,0.7,0.0,3.987,0.0,0.0,0.5556,0.0
115,-62.0868,-11.8642,0.349,0.7,0.0,4.0056,0.0,0.0,0.5657,0.0
116,-61.8288,-11.8213,0.3506,0.7,0.0,4.0083,0.0,0.0,0.575,0.0
117,-62.1174,-11.835,0.3522,0.7,0.0,4.0037,0.0,0.0,0.5843,0.0
118,-62.1948,-11.9133,0.3538,0.7,0.0,3.9694,0.0,0.0,0.5944,0.0
119,-62.0216,-11.8302,0.3553,0.7,0.0,4.0343,0.0,0.0,0.6037,0.0
120,-62.322,-11.7985,0.3568,0.7,0.0,3.9389,0.0,0.0,0.6139,0.0
121,-62.4916,-11.8666,0.3584,0.7,0.0,4.012,0.0,0.0,0.6231,0.0
122,-62.7411,-11.8186,0.3599,0.7,0.0,3.9657,0.0,0.0,0.6333,0.0
123,-62.3608,-11.8149,0.3614,0.7,0.0,4.0139,0.0,0.0,0.6426,0.0
124,-62.2337,-11.8376,0.3629,0.7,0.0,3.9704,0.0,0.0,0.6528,0.0
125,-61.6732,-11.8034,0.3644,0.7,0.0,4.037,0.0,0.0,0.662,0.0
126,-62.3922,-11.8291,0.366,0.7,0.0,4.0037,0.0,0.0,0.6722,0.0
127,-62.4211,-11.8365,0.3674,0.7,0.0,4.0185,0.0,0.0,0.6815,0.0
128,-62.0324,-11.8296,0.3688,0.7,0.0,4.0083,0.0,0.0,0.6917,0.0
129,-62.4899,-11.7883,0.3703,0.7,0.0,3.9889,0.0,0.0,0.7019,0.0
130,-62.6349,-11.8479,0.3717,0.7,0.0,3.9917,0.0,0.0,0.7111,0.0
131,-62.0144,-11.8247,0.3731,0.7,0.0,4.0074,0.0,0.0,0.7213,0.0
132,-61.7732,-11.8545,0.3744,0.7,0.0,4.0324,0.0,0.0,0.7315,0.0
133,-62.3109,-11.8443,0.3758,0.7,0.0,4.0028,0.0,0.0,0.7407,0.0
134,-62.3441,-11.8032,0.3772,0.7,0.0,4.0231,0.0,0.0,0.7509,0.0
135,-61.5388,-11.8363,0.3785,0.7,0.0,4.0185,0.0,0.0,0.7611,0.0
136,-62.4362,-11.8414,0.3798,0.7,0.0,4.0231,0.0,0.0,0.7704,0.0
137,-62.316,-11.7912,0.3811,0.7,0.0,3.9917,0.0,0.0,0.7806,0.0
138,-62.4854,-11.8268,0.3824,0.7,0.0,3.9935,0.0,0.0,0.7907,0.0
139,-62.3466,-11.8267,0.3837,0.7,0.0,4.0,0.0,0.0,0.8009,0.0
140,-61.951,-11.8187,0.3849,0.7,0.0,3.9963,0.0,0.0,0.8102,0.0
141,-62.4059,-11.8561,0.3862,0.7,0.0,3.9796,0.0,0.0,0.8204,0.0
142,-62.1172,-11.8272,0.3874,0.7,0.0,4.0102,0.0,0.0,0.8306,0.0
143,-62.309,-11.8597,0.3886,0.7,0.0,3.9861,0.0,0.0,0.8407,0.0
144,-62.067,-11.9048,0.3897,0.7,0.0,3.9509,0.0,0.0,0.85,0.0
145,-62.772,-11.8267,0.391,0.7,0.0,4.0,0.0,0.0,0.8602,0.0
146,-62.8103,-11.8088,0.3922,0.7,0.0,3.975,0.0,0.0,0.8704,0.0
147,-62.1072,-11.7813,0.3933,0.7,0.0,4.0306,0.0,0.0,0.8806,0.0
148,-62.1023,-11.8787,0.3944,0.7,0.0,4.0,0.0,0.0,0.8898,0.0
149,-62.2228,-11.7806,0.3956,0.7,0.0,4.0204,0.0,0.0,0.9,0.0
150,-61.6782,-11.8624,0.3967,0.7,0.0,4.0019,0.0,0.0,0.9102,0.0
151,-62.5915,-11.8435,0.3979,0.7,0.0,4.0176,0.0,0.0,0.9204,0.0
152,-61.983,-11.7529,0.399,0.7,0.0,4.0657,0.0,0.0,0.9306,0.0
153,-62.7405,-11.771,0.4002,0.7,0.0,3.9907,0.0,0.0,0.9398,0.0
154,-62.4218,-11.8582,0.4012,0.7,0.0,4.0139,0.0,0.0,0.95,0.0
155,-62.4329,-11.8002,0.4024,0.7,0.0,3.9954,0.0009,0.0,0.9602,0.0
